ID,Time,Solution
1,0.6233117580413818,"[3, 4, 9, 11, 15, 23, 27, 29, 30]"
2,0.6174838542938232,"[3, 4, 9, 11, 15, 23, 27, 29, 30]"
3,6.000517845153809,"[3, 4, 9, 11, 15, 23, 27, 29, 30]"
4,7.080783843994141,"[3, 4, 9, 11, 15, 23, 27, 29, 30]"
5,0.6460249423980713,"[3, 4, 9, 11, 15, 23, 27, 29, 30]"
6,16.516453742980957,"[2, 3, 8, 10, 14, 22, 26, 28, 29]"
7,18.655500173568726,"[2, 3, 8, 10, 14, 22, 26, 28, 29]"
8,16.145561933517456,"[2, 3, 8, 10, 14, 22, 26, 28, 29]"
9,17.137962102890015,"[2, 3, 8, 10, 14, 22, 26, 28, 29]"
10,15.183746099472046,"[2, 3, 8, 10, 14, 22, 26, 28, 29]"
11,18.225898027420044,"[2, 3, 8, 10, 14, 22, 26, 28, 29]"
12,18.527577877044678,"[2, 3, 8, 10, 14, 22, 26, 28, 29]"
13,16.807519912719727,"[2, 3, 8, 10, 14, 22, 26, 28, 29]"
14,16.95552897453308,"[2, 3, 8, 10, 14, 22, 26, 28, 29]"
15,16.937679052352905,"[2, 3, 8, 10, 14, 22, 26, 28, 29]"
16,18.881557941436768,"[2, 3, 8, 10, 14, 22, 26, 28, 29]"
17,18.4352707862854,"[2, 3, 8, 10, 14, 22, 26, 28, 29]"
18,15.653082132339478,"[2, 3, 8, 10, 14, 22, 26, 28, 29]"
