Solver,Quality_Mean,Quality_CI_Lower,Quality_CI_Upper,Time_Mean,Time_CI_Lower,Time_CI_Upper
Branch & Bound,11.846586156780855,11.634374198570635,12.058798114991076,307.7136867406113,283.66770893791096,331.75966454331166
OR-Tools,0.0,,,0.4898435445211102,0.46574819484235236,0.513938894199868
Tabu Search,4.138266974151215,3.9434998627417484,4.333034085560681,255.94223787891013,238.23084129117603,273.65363446664423
Fast Tabu Search,4.1143251925637445,3.7492829912571364,4.479367393870353,32.25226856761736,29.693095895844877,34.811441239389836
